asset,cci_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
bnb,10,0.579915965939444,1.010826864559832,1.3032352437016346,1.348131857029099,0.8391657230977196,0.7646935746459143,0.5186375321336761,1.348131857029099,0.6348314028984094,1556
btc,10,0.4386892643930518,1.1325462572325438,1.2868433873414042,1.3367172025648235,0.6334562604297848,0.6901905056189833,0.529891304347826,1.3367172025648235,0.3860376508963844,2208
xrp,11,0.6329277702073535,0.9911018512261073,1.338493881952317,1.4022447344728846,1.0659124095592474,0.6865505217014136,0.487658937920718,1.4022447344728846,0.738372872541392,1337
eth,11,0.37362498566226,0.8763845792949355,0.998432279815452,1.2486142946476164,0.6490118823357781,0.6849866406717429,0.5006622516556292,1.2486142946476164,0.5072709852960762,1510
algo,11,0.5267010095052795,0.38818718901027216,0.47940779597225397,1.108156120358453,0.33597645589847586,0.7677780395115614,0.49200376293508935,1.108156120358453,0.664512770989329,1063
vet,11,0.35768786612237835,0.783137285497626,0.9677199820673573,1.2288161780143174,0.7808985622812804,0.6550137327986019,0.5008103727714749,1.2288161780143174,0.6531412712547621,1234
atom,11,1.4059232104611503,0.4611006001347039,0.5433145739391186,1.1266922040200178,0.37139919953926775,0.8141399291281034,0.4816112084063047,1.1266922040200178,0.6557591074546433,1142
pol,11,-0.2606884176291111,0.045364950878583374,0.04360037370824082,1.0118512126152692,0.040956601589291854,0.5627215123455616,0.4983388704318937,1.0118512126152692,0.5080389230122901,301
tao,11,0.5468558992046326,0.9712571690616043,1.239445566610447,1.2736430442184947,1.17391674332268,0.5658418557364235,0.4988610478359909,1.2736430442184947,0.6839087006827873,439
ltc,11,0.39831090938368474,0.8247612786351656,1.0055682770158043,1.2774610316510338,0.7877929756030385,0.6706869079292892,0.4899699097291876,1.2774610316510338,0.640624685690825,1994
xlm,11,0.7167136474499121,1.0807326266627328,1.5376529085311563,1.419042033986724,1.1397705095274626,0.6688694771727532,0.5077760497667185,1.419042033986724,0.7054082443672421,1286
avax,11,0.8770467620494369,1.184734499665848,1.6368788276367874,1.3901316991306256,1.533429352129288,0.5804011952993336,0.5173611111111112,1.3901316991306256,0.7512267340353012,864
link,11,0.7930364680617359,1.147520771620354,1.5993362472937878,1.339225808667174,1.3946250466764323,0.5984308673917083,0.5046791443850267,1.339225808667174,0.7272954851965798,1496
ada,11,0.7151120510870212,0.9839514514684798,1.537493534676045,1.3923618618654532,1.2210992628412871,0.674900556528615,0.5032870708546384,1.3923618618654532,0.837562230167274,1369
trx,11,0.6088708024565677,0.8790846070866762,1.426033541749754,1.4140360172273274,1.1879447167273713,0.6500479061558687,0.5157962604771116,1.4140360172273274,0.8784376037441123,1551
sui,11,1.0524509567503713,0.6315052265857706,0.8789750749127556,1.1675223700867046,0.6135085602962068,0.620677231483436,0.48058252427184467,1.1675223700867046,0.602989141918558,412
sol,11,1.063151090451226,1.3361679868726253,1.6747795470282654,1.4003348535286781,1.4574998735448859,0.6844100745198803,0.5086872586872587,1.4003348535286781,0.746558521732241,1036
bnb,11,0.5737403070407163,1.0008728416141444,1.309232765360893,1.3449850243530392,0.7974160728304178,0.803528897486724,0.5138620245003224,1.3449850243530392,0.640188075046839,1551
btc,11,0.42793239745372014,1.1078160785407927,1.2607477736590098,1.3257437536551606,0.6667167568107663,0.6461900735719208,0.5275908479138627,1.3257437536551606,0.3888964589705739,2229
xrp,12,0.6070372480675783,0.969841506449546,1.2959477372696726,1.3963380155215441,1.101219543359257,0.649382088858165,0.487062404870624,1.3963380155215441,0.7373496005300852,1314
eth,12,0.3952765281538748,0.909769630723508,1.034492514635909,1.2598833629428303,0.6857866314439558,0.6687440381926821,0.5036691127418279,1.2598833629428303,0.504100934745059,1499
algo,12,1.4939584781956365,0.46938036594337285,0.5762356144908262,1.1328230657082903,0.3929431232424116,0.795008282662375,0.49523809523809526,1.1328230657082903,0.6655434701983838,1050
vet,12,0.30373887918189624,0.7237410116327387,0.8750949014054386,1.2086852776436126,0.6689055386203985,0.6972050479533041,0.5,1.2086852776436126,0.6443801175201627,1226
atom,12,2.3605068076229516,0.5144726312539789,0.6060276121131394,1.1420863394816017,0.4262150452734935,0.7887029411651626,0.48242530755711777,1.1420863394816017,0.6534012488802289,1138
pol,12,-0.05737211279973453,0.2187768132489062,0.2100263713811115,1.0594559083553614,0.2155326431347844,0.5231490035096333,0.5034246575342466,1.0594559083553614,0.5153913973117241,292
tao,12,0.7483837913131994,1.1400269186749385,1.5003387336828236,1.3299678318434134,1.4037266054871498,0.5658418557364234,0.5011337868480725,1.3299678318434134,0.6967267652930906,441
ltc,12,0.39832136154052344,0.8259925522294731,1.0134747698567963,1.2784128297348487,0.8269444774694985,0.6357375395680068,0.48598598598598597,1.2784128297348487,0.636470203086961,1998
xlm,12,0.7521221104087854,1.1084466916159157,1.4977788358621238,1.4366317742106112,1.1141409663302928,0.7064798250189903,0.5114624505928854,1.4366317742106112,0.7101091291923454,1265
avax,12,0.9074053390433181,1.2075837170193866,1.6660670311820938,1.402312735239809,1.649266597027825,0.5481997041185932,0.5187353629976581,1.402312735239809,0.7487078930932769,854
link,12,0.7826733344106,1.1384796483422936,1.5958311973824422,1.3338598686127094,1.3086852715463766,0.6342163311965691,0.5056328694499669,1.3338598686127094,0.7290332970111955,1509
ada,12,0.7555126656837639,1.0119114248296155,1.580980233929215,1.406585153015003,1.250526578072898,0.677168186965365,0.5058651026392962,1.406585153015003,0.8368487545915516,1364
trx,12,0.5728803121564146,0.853649677095016,1.3669578991936615,1.3950012211162124,1.0936339650173397,0.6883657777394832,0.5153256704980843,1.3950012211162124,0.8818842378683199,1566
sui,12,0.785140654545893,0.5662056626049502,0.7938351563673612,1.148497059906865,0.5273642936991724,0.6486152653297655,0.4794188861985472,1.148497059906865,0.6041206470974326,413
sol,12,0.9838273598554157,1.2856853495692628,1.602788516425016,1.3838652689622624,1.371070898806722,0.6974629758957162,0.5072886297376094,1.3838652689622624,0.7437832200282329,1029
bnb,12,0.5812524289940431,1.0077301522711721,1.3119702499487842,1.348452915926124,0.8177752317152295,0.7901731829727714,0.516774193548387,1.348452915926124,0.6412272733373919,1550
btc,12,0.4272962595736747,1.1072006929677731,1.2569118971626998,1.3246679849967797,0.6828248219638645,0.630185223357331,0.5295698924731183,1.3246679849967797,0.38864328362170963,2232
