total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades,asset,fast_period,slow_period,apo_combination,period_ratio
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,pepe,4,160,4-160,40.0
-0.11660942692861831,-10.794719711410863,-5.0,0.0,-27.481486124977117,0.11163510666353711,0.0,0.0,0.2842036400066346,5,doge,5,6,5-6,1.2
-0.09090912097503123,-5.019960159204453,0.0,0.0,-25.2,0.09090912097503123,0.0,0.0,0.4563601654029547,1,shib,5,6,5-6,1.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,pepe,5,6,5-6,1.2
-0.09329708454657804,-8.668264164825667,-5.0,0.0,-27.44004490999393,0.08819149385517305,0.0,0.0,0.27917683472144994,4,doge,5,7,5-7,1.4
-0.09090912097503123,-5.019960159204453,0.0,0.0,-25.2,0.09090912097503123,0.0,0.0,0.4563601654029547,1,shib,5,7,5-7,1.4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,pepe,5,7,5-7,1.4
-0.11660942692861831,-10.794719711410863,-5.0,0.0,-27.481486124977117,0.11163510666353711,0.0,0.0,0.2842036400066346,5,doge,5,8,5-8,1.6
-0.09090912097503123,-5.019960159204453,0.0,0.0,-25.2,0.09090912097503123,0.0,0.0,0.4563601654029547,1,shib,5,8,5-8,1.6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,pepe,5,8,5-8,1.6
-0.05698082381267344,-3.232356506095755,-4.678132374746296,0.5467190301989909,-12.456834682302599,0.11163510666353713,0.2857142857142857,0.5467190301989909,0.43021865497397693,7,doge,5,9,5-9,1.8
-0.09090912097503123,-5.019960159204453,0.0,0.0,-25.2,0.09090912097503123,0.0,0.0,0.4563601654029547,1,shib,5,9,5-9,1.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,pepe,5,9,5-9,1.8
-0.05698082381267344,-3.232356506095755,-4.678132374746296,0.5467190301989909,-12.456834682302599,0.11163510666353713,0.2857142857142857,0.5467190301989909,0.43021865497397693,7,doge,5,10,5-10,2.0
-0.09090912097503123,-5.019960159204453,0.0,0.0,-25.2,0.09090912097503123,0.0,0.0,0.4563601654029547,1,shib,5,10,5-10,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,pepe,5,10,5-10,2.0
-0.0758125549094888,-4.673409123534193,-5.0,0.3793443676831711,-17.05653914790383,0.11163510666353713,0.16666666666666666,0.3793443676831711,0.4074345979037864,6,doge,5,11,5-11,2.2
-0.09090912097503123,-5.019960159204453,0.0,0.0,-25.2,0.09090912097503123,0.0,0.0,0.4563601654029547,1,shib,5,11,5-11,2.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,pepe,5,11,5-11,2.2
-0.07060850986193545,-4.308904771570758,-5.0,0.3976331360151289,-15.792553610394469,0.11163510666353707,0.2,0.3976331360151289,0.40915348568804255,5,doge,5,12,5-12,2.4
-0.09090912097503123,-5.019960159204453,0.0,0.0,-25.2,0.09090912097503123,0.0,0.0,0.4563601654029547,1,shib,5,12,5-12,2.4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,pepe,5,12,5-12,2.4
-0.09353331478567295,-7.366014483490734,-5.0,0.17544404930041047,-21.617796121866547,0.11163510666353693,0.2,0.17544404930041047,0.327626965885561,5,doge,5,13,5-13,2.6
-0.09090912097503123,-5.019960159204453,0.0,0.0,-25.2,0.09090912097503123,0.0,0.0,0.4563601654029547,1,shib,5,13,5-13,2.6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,pepe,5,13,5-13,2.6
