asset,vidya_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
xlm,8,0.5001941144780531,0.8925195943598506,1.1575314712305143,1.3490936187798823,0.8755934065802335,0.7156885499370635,0.5024875621890548,1.3490936187798823,0.7021158744860051,1206
avax,8,0.6314460041322407,0.9998887827531926,1.2533207705954716,1.3310722657633443,0.9931726236541434,0.7625314460246794,0.5120481927710844,1.3310722657633443,0.7574095938768551,830
link,8,0.44121752860533925,0.8501791691474497,1.0890967407979009,1.2460045400496131,0.7279188441655917,0.8537851273811251,0.49353301565690944,1.2460045400496131,0.7310062462624916,1469
ada,8,0.6142773535538117,0.9140433546920196,1.402097025409444,1.3802595950292178,1.0874768943437692,0.689154198972311,0.49607535321821034,1.3802595950292178,0.8199165435373631,1274
trx,8,0.5948239800988235,0.8696698516274993,1.4021014822926259,1.4174743080883048,1.1155364507616579,0.6798348921525421,0.5146962769431744,1.4174743080883048,0.8720327619458679,1531
sui,8,0.6329522827031433,0.5188550376025128,0.7357258555458389,1.1432396819903372,0.4892715984636559,0.6450680914034271,0.4524421593830334,1.1432396819903372,0.6082883914112468,389
sol,8,0.956019295959446,1.2601241960940954,1.5913038435384188,1.3746370786739854,1.4271807434387274,0.6638403102103955,0.5043394406943105,1.3746370786739854,0.7518466119350051,1037
bnb,8,0.6152391534331907,1.0430613279476266,1.4048759169690357,1.3583731435515922,1.0053059763054588,0.6611430178885475,0.5158227848101266,1.3583731435515922,0.6372118391003722,1580
btc,8,0.429878582488904,1.111291976757019,1.2672051831266093,1.3232304328649689,0.8548848029324925,0.505674703758784,0.5261989342806395,1.3232304328649689,0.3890009363086533,2252
xrp,9,0.3662989648629975,0.7518901263231675,0.9894179208073243,1.2991980645301033,0.6641169812376034,0.8128626971861148,0.47667185069984447,1.2991980645301033,0.7179718175789337,1286
eth,9,0.2352927496356485,0.6714869736393237,0.7522262118327709,1.1865590786745674,0.5338965360064429,0.6228135289644715,0.49115646258503404,1.1865590786745674,0.4951964799702657,1470
algo,9,-0.050502559118867585,0.30711938180295245,0.35767098928538255,1.0895320693652863,0.22068912858611306,0.9165947617357963,0.4797086368366285,1.0895320693652863,0.6586445246358731,961
vet,9,0.2548509173956781,0.6653842681058855,0.78128784479675,1.1969239410264167,0.5911455456390209,0.710751406677913,0.49740034662045063,1.1969239410264167,0.6314509498554225,1154
atom,9,0.868217143788383,0.41355617435332065,0.47263912339358344,1.1151439541899941,0.3440962657559035,0.7617032796805644,0.4857667584940312,1.1151439541899941,0.633769413700454,1089
pol,9,-0.20472898524271577,0.05407631365257964,0.05187707231648303,1.0150979363409718,0.048803482226308745,0.5081546076161523,0.4962121212121212,1.0150979363409718,0.4586058606054547,264
tao,9,0.5945814225288348,1.004929656891028,1.2737508435403029,1.2870307320530565,1.0526972387476554,0.673947611330714,0.49885057471264366,1.2870307320530565,0.705982537825882,435
ltc,9,0.21746199199727023,0.6094648571485455,0.7190731751077972,1.2023179629468368,0.4822121771887847,0.7913375649335815,0.4779840848806366,1.2023179629468368,0.6261109325699606,1885
xlm,9,0.4632526209544132,0.8560654643124339,1.1047954327849365,1.335423024501886,0.8571346027003165,0.7018207523155184,0.5054575986565911,1.335423024501886,0.7026972548015938,1191
avax,9,0.5375352258798252,0.9212942698851639,1.1514686473772229,1.3017509609630278,0.934511995270048,0.7478694603757384,0.5097087378640777,1.3017509609630278,0.7585990757376359,824
link,9,0.5671229682142498,0.9649577684694978,1.2972056147585904,1.2810558501224363,0.9929974826201119,0.7020095763152573,0.4965986394557823,1.2810558501224363,0.7224085497149888,1470
ada,9,0.46864822295826447,0.8589168065675645,1.124661092862967,1.3106400111116967,0.9566265554224528,0.6325027654358159,0.49841521394611726,1.3106400111116967,0.704455818267242,1262
