asset,mfi_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
doge,52,-0.056272691148333887,-2.916083175855567,-3.842112566588816,0.5664900301979641,-10.236203058545211,0.11163510666353713,0.3333333333333333,0.5664900301979641,0.39186797884633395,9
shib,52,0.0,0.2951897520716116,0.0,1.1000000363797895,2.10000076397558,0.09090912097503127,0.5,1.1000000363797895,0.6467339132206747,2
pepe,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
bonk,53,-0.1999999514936146,-3.7976494964698997,-5.0,0.4326923490075074,-20.423076393947607,0.1999999514936146,0.4,0.4326923490075074,1.0755637906912565,5
doge,53,-0.15404806166866947,-5.550411904961443,-5.0,0.31033838682926124,-17.761021500971925,0.18683811660102545,0.3,0.31033838682926124,0.5978719891375277,10
shib,53,0.0,0.2951897520716116,0.0,1.1000000363797895,2.10000076397558,0.09090912097503127,0.5,1.1000000363797895,0.6467339132206747,2
pepe,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
bonk,54,-0.26666664241347393,-5.237985751180497,-5.0,0.34808766581244766,-21.8798075600012,0.26666664241347393,0.3333333333333333,0.34808766581244766,1.1139042937189174,6
doge,54,-0.177052838530376,-6.513590583445789,-5.0,0.2774136651075554,-18.61443613302002,0.2089512022651329,0.2727272727272727,0.2774136651075554,0.5971374405028163,11
shib,54,0.0,0.2951897520716116,0.0,1.1000000363797895,2.10000076397558,0.09090912097503127,0.5,1.1000000363797895,0.6467339132206747,2
pepe,54,-0.1428571242960267,-4.582575694955839,0.0,0.0,-21.0,0.1428571242960267,0.0,0.0,0.6546535856502576,1
bonk,55,-0.21052583710803952,-3.51626810450363,-5.0,0.5277154445930612,-15.851050277707502,0.26666664241347393,0.42857142857142855,0.5277154445930612,1.202111508752577,7
doge,55,-0.177052838530376,-6.513590583445789,-5.0,0.2774136651075554,-18.61443613302002,0.2089512022651329,0.2727272727272727,0.2774136651075554,0.5971374405028163,11
