asset,vzo_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
eth,112,0.3113511299571514,0.8282237905462346,0.8515708555922287,1.257461941220858,0.688855106819634,0.5365177113580823,0.5058456742010912,1.257461941220858,0.4462356304984285,1283
algo,112,0.16391352368474688,0.5377703932610003,0.5904415179648094,1.1814115682865527,0.3940187479975055,0.8164112393212416,0.5091352009744214,1.1814115682865527,0.5981759843969755,821
vet,112,0.5883636011251661,1.0833314599665487,1.231304546137794,1.3876606653848425,1.0613259606207062,0.583850916270172,0.5122470713525027,1.3876606653848425,0.5719912671869177,939
atom,112,1.76823388851665,0.46357120987452993,0.4821522394631812,1.1414405175324835,0.3888321227228458,0.6682049172364884,0.4885245901639344,1.1414405175324835,0.5604738405847722,915
pol,112,-0.17984425536817938,0.001468374660357886,0.0011960138159742165,1.0005234853844724,0.0011572688321116872,0.47265394986681614,0.4817073170731707,1.0005234853844724,0.3725123426074578,164
tao,112,0.5188257118960746,0.9828255194814354,1.09224625708581,1.3335804444878847,0.9604227944585818,0.6217783910563793,0.48955223880597015,1.3335804444878847,0.6076054477985181,335
ltc,112,0.38111438716279267,0.8220676229477355,0.9260641555295321,1.3044458208378693,0.7381281803581642,0.6623607606675116,0.49032258064516127,1.3044458208378693,0.5947286200848747,1705
xlm,112,0.4089606660264913,0.8455465430554052,1.062785624057974,1.354564045189275,0.7481194739702619,0.6623286378367697,0.5150048402710552,1.354564045189275,0.5860126284040831,1033
avax,112,0.402753012686599,0.8766817592761333,0.8183275234803427,1.3045099050198479,0.9775954406461032,0.5116136724066473,0.5278637770897833,1.3045099050198479,0.570504847654087,646
link,112,0.5360265629415588,1.017789431796825,1.2884405129275212,1.3113627973046218,1.0396580521488397,0.571272030786863,0.5008064516129033,1.3113627973046218,0.5835466042582608,1240
