asset,mfi_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
avax,114,0.2783319441303109,0.7012983472863624,0.989199320472315,1.1699753808828912,0.7603983800684955,0.825481848163418,0.5094650205761316,1.1699753808828912,0.8950471116155403,1215
link,114,0.30392202176598326,0.7320205000081765,1.08648088958826,1.1531594935594882,0.7731156793083471,0.8093626897239923,0.5042408821034775,1.1531594935594882,0.8547998118438022,2358
ada,114,0.16005277203054136,0.5569029756518189,0.7455599943298281,1.136263214171685,0.48486676857182354,0.8408636500609167,0.5005324813631523,1.136263214171685,0.732096718171331,1878
trx,114,2.450523998064784,0.4917629299887328,0.6020566033959082,1.1356826398598525,0.3917536352832754,0.8844767084117725,0.520506329113924,1.1356826398598525,0.7046016377274236,1975
sui,114,-0.3056412336531714,0.23612482604297277,0.3759373156477602,1.047282901363442,0.2300044324290759,0.8066821223517814,0.46153846153846156,1.047282901363442,0.7857727914998527,572
sol,114,1.0417355895171587,1.2351357671712535,1.8466323569177832,1.2940121042911517,1.3496409686869995,0.8165984235250172,0.5013831258644537,1.2940121042911517,0.8923024631362416,1446
bnb,114,0.5690924692171315,0.9999807064960481,1.285721382093714,1.2651121124722389,0.881251468901965,0.7570015037173655,0.5247093023255814,1.2651121124722389,0.6671215582243447,2064
btc,114,0.3870199414277353,0.9413551819283208,1.0496568031519427,1.2463039900083135,0.5037136507537322,0.8591386462437653,0.5295868998883513,1.2463039900083135,0.4597200634903592,2687
xrp,115,1.9547690043405033,0.48375142135471766,0.5900459219557981,1.144287856543295,0.4358136223128291,0.825137722397375,0.5005952380952381,1.144287856543295,0.7433699289149399,1680
eth,115,0.28806967749496004,0.7338420423563976,0.812235060465247,1.1786586679341609,0.6229106725473618,0.6765760095038035,0.5212187159956474,1.1786586679341609,0.5743012702790131,1838
algo,115,-0.4322275039203154,0.32349243763167074,0.396619307709928,1.073566628882954,0.2849174970621225,0.9112838529366794,0.5041322314049587,1.073566628882954,0.8026175708857638,1452
vet,115,-0.03592184410236987,0.3979577303245129,0.49873384411988714,1.0909568387953505,0.3326873816958281,0.960594576364817,0.507807981492192,1.0909568387953505,0.8030443188562413,1729
atom,115,-0.35926974922839394,0.34304296834422265,0.40913010387122645,1.0804365299286778,0.2994533109637836,0.9178758116863603,0.4973045822102426,1.0804365299286778,0.8012435065780003,1484
pol,115,-0.8702884417377819,-1.2849751231025952,-1.3211334402339823,0.7474375624438636,-0.7749520322022392,0.9058042880968187,0.45664739884393063,0.7474375624438636,0.5462789599718084,346
tao,115,0.2955517063925095,0.48824286453765875,0.7668138715156788,1.107177826882004,0.4690107616672759,0.8355249346783515,0.45750452079566006,1.107177826882004,0.8026132371162779,553
ltc,115,0.32600969261512747,0.7405365907633895,0.9517904753446835,1.1933407733689774,0.6886978236578147,0.8180330189736333,0.5072664359861592,1.1933407733689774,0.7607693757125624,2890
xlm,115,0.14929142517343585,0.5310114631066163,0.7085645037777302,1.154598038800791,0.47764283607443075,0.8320111443676552,0.5021122510561256,1.154598038800791,0.7483909298611672,1657
avax,115,0.41206359602932086,0.8125309669200046,1.144092471117633,1.2001895039174189,0.8837516266234074,0.8254818481634177,0.5149006622516556,1.2001895039174189,0.8978376895933616,1208
link,115,0.2894803704050499,0.7195156610078348,1.0786692354731384,1.149280484171105,0.7947971725039296,0.7783057723083797,0.5025273799494524,1.149280484171105,0.8597383777688912,2374
ada,115,0.24894653128477495,0.6581985376706968,0.8878129757896407,1.1624003073065472,0.642135651054096,0.7573230344907783,0.5029208709506108,1.1624003073065472,0.7388410821026501,1883
trx,115,1.7698332425900705,0.46350229184671315,0.5706288366315483,1.1276063118908963,0.3654739287908604,0.8948589620887971,0.5193089430894309,1.1276063118908963,0.7056008704622837,1968
sui,115,0.25521763462974456,0.4790361037559143,0.7600740882777305,1.0979827545260148,0.505880282964292,0.7440031118113217,0.4756944444444444,1.0979827545260148,0.7856954867877813,576
sol,115,0.911765823124401,1.1601234495649844,1.7231171085957426,1.2741025493749363,1.2002020119042032,0.8670303196150492,0.4979281767955801,1.2741025493749363,0.8969834497993538,1448
bnb,115,0.5673944190949944,0.9975735203647769,1.282244128927046,1.2636638269633729,0.9127947741639957,0.73084977976117,0.5257782101167315,1.2636638269633729,0.6687385401137781,2056
btc,115,0.40175781662453014,0.9623063761653758,1.0691931658695049,1.252674181214501,0.5152848508522049,0.8621270692795117,0.5332343111771258,1.252674181214501,0.46164197734983853,2693
