asset,rsi_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
vet,83,0.18639062676334683,0.5822340444890823,0.6236442456470311,1.180539643719103,0.46967245611861197,0.8310389870530479,0.5081967213114754,1.180539643719103,0.6703766739061706,976
atom,83,-0.7716114801686929,0.07221466311789704,0.0725024873511964,1.0210253312658135,0.04922782246068304,0.9479544226563689,0.47344632768361583,1.0210253312658135,0.6462085399908457,885
pol,83,-0.48246251367195747,-0.5102394077756509,-0.36477858974271354,0.8398036085525455,-0.2804393996205736,0.681366858951193,0.4533333333333333,0.8398036085525455,0.3744950114273538,150
tao,83,0.5386894803754672,0.9287003252321858,1.4430963279119453,1.2286316711756484,1.2009589640608265,0.6076962610427213,0.4720616570327553,1.2286316711756484,0.7858490540993848,519
ltc,83,0.14149210488595143,0.5218262731513112,0.5578582562377135,1.164023941314822,0.3951816005939499,0.88640188267427,0.48781808337845156,1.164023941314822,0.6712765009881687,1847
xlm,83,0.4867085303782941,0.3662185143038832,0.43998268284117453,1.1272283680492856,0.3331598558206779,0.7651654374061045,0.48131672597864766,1.1272283680492856,0.6960937168612196,1124
avax,83,0.3734412564786054,0.771534614474256,0.9072930571260914,1.2551036639018545,0.8032637567100885,0.766045001349275,0.5088919288645691,1.2551036639018545,0.7975483848020348,731
link,83,0.1484119801077064,0.5589426629842468,0.6638760850224092,1.144346038688171,0.46551498976420413,0.9135596701809475,0.49181360201511337,1.144346038688171,0.760857505925003,1588
ada,83,0.18991837018697355,0.5842989178157524,0.6427527472036956,1.1711339243261025,0.4921087176118877,0.7438072488677682,0.5080906148867314,1.1711339243261025,0.6264499560585624,1236
trx,83,1.2392632539069295,0.41658375291454186,0.502003309082782,1.1229134731009043,0.3254979241908927,0.8535002220054624,0.517718715393134,1.1229134731009043,0.6668828263598524,1806
sui,83,1.404554649688262,0.7308411581740405,1.0133857116110152,1.1932646439884886,0.7444758253954608,0.664087378825555,0.4852941176470588,1.1932646439884886,0.6764766789011748,408
sol,83,0.9793228633746027,1.232311300984493,1.556550876135213,1.3521153399697727,1.3216418322202996,0.7674619235077389,0.5023041474654378,1.3521153399697727,0.8230954158529195,1085
bnb,83,0.475172205558843,0.9238824880597293,1.1353345969955715,1.269662714420624,0.7658658342556178,0.74709829091799,0.5229411764705882,1.269662714420624,0.6193180011956902,1700
btc,83,0.49917204056887066,1.1446552285349065,1.2775920983817812,1.313602491242333,0.760922875641074,0.6569876852479999,0.5395256916996047,1.313602491242333,0.4367402046112576,2530
xrp,84,-0.5296687401758982,0.21865217380614843,0.2385493919659548,1.0679703441612491,0.16550328524670477,0.8860829369592389,0.48878923766816146,1.0679703441612491,0.6706982808129718,1338
eth,84,0.20247156569496738,0.6206471046921813,0.6212329122091207,1.163529761506102,0.4350072286431213,0.7469810178605275,0.5224257738471257,1.163529761506102,0.5235537876063816,1583
algo,84,-0.11673382850585523,0.28550142969994174,0.27893176764348476,1.0967231305418244,0.2425806758706259,0.7509528245910776,0.48878923766816146,1.0967231305418244,0.6380586042168472,669
vet,84,0.22458093570459559,0.6293389927312969,0.6747541128054818,1.1966729043028659,0.5376648972756871,0.7833610835023649,0.5107913669064749,1.1966729043028659,0.669251009957522,973
atom,84,-0.7475264631682507,0.08878449164011185,0.08881936826484542,1.0259720327923865,0.060821961179064764,0.9430460561340469,0.475,1.0259720327923865,0.6460352428299704,880
pol,84,-0.4963740876462509,-0.5478727809412157,-0.3864629771192356,0.826778647361782,-0.28845492107195564,0.7054459401557032,0.4489795918367347,0.826778647361782,0.3714171611857797,147
tao,84,0.5555865459480582,0.9425637538231657,1.4625289774651258,1.2326164497375034,1.2315344644120776,0.6016781931810019,0.4738878143133462,1.2326164497375034,0.7861403840133325,517
ltc,84,0.13534055707544934,0.5140329806386247,0.5487585480060744,1.1612070039778128,0.3904263257730871,0.8849265749473136,0.48863636363636365,1.1612070039778128,0.6721331981586108,1848
xlm,84,0.6325958339158646,0.3774040529422903,0.4563977730266963,1.1315364315506904,0.3360681040256058,0.7799812635019351,0.4804270462633452,1.1315364315506904,0.6945522242196858,1124
avax,84,0.32485266712252003,0.7268626950640882,0.845888015151596,1.2382066032799786,0.7441409321177048,0.7716166776911056,0.5082417582417582,1.2382066032799786,0.7899587606762497,728
link,84,0.169550520900017,0.5823739167545674,0.6938748999162073,1.150879915229313,0.48336179050641487,0.914752818036707,0.4924433249370277,1.150879915229313,0.7592313928842241,1588
ada,84,0.19733169563439867,0.5937463205477549,0.6619699427983231,1.1737723323989664,0.49872176332594714,0.7438072488677675,0.5068714632174616,1.1737723323989664,0.6247665878379434,1237
trx,84,1.9098387194314794,0.4511235882576302,0.5458814632726334,1.1338784654581786,0.35587655310391414,0.8433004858366638,0.5185595567867036,1.1338784654581786,0.6652520017619187,1805
sui,84,1.3698589106433436,0.7246161720894239,1.0053443576220018,1.1914952310847684,0.7385683080704426,0.664087378825555,0.4827586206896552,1.1914952310847684,0.6768740619959508,406
sol,84,1.0281177367652283,1.2614232724789183,1.5959972990780702,1.3616345705493222,1.3542973568531325,0.7674619235077389,0.5032258064516129,1.3616345705493222,0.8239674002917386,1085
bnb,84,0.4984474131998047,0.950187985184139,1.1724608176260767,1.2781702046160675,0.7975563535244363,0.7353927963545253,0.5246768507638073,1.2781702046160675,0.6172643794848565,1702
btc,84,0.4968592493983477,1.1404157122687695,1.2737688210175666,1.312010131047941,0.7879619243798399,0.6327186447787114,0.5396762731938413,1.312010131047941,0.4371723359887725,2533
xrp,85,-0.5556695459747912,0.2103668087685899,0.2294033301402921,1.0653825411885225,0.1570275252354204,0.8972100930235324,0.48878923766816146,1.0653825411885225,0.6697191507939183,1338
eth,85,0.20745932492235197,0.6284171704101094,0.6320054669771191,1.165139307516653,0.44549217312945516,0.7390673817605575,0.5223692501575299,1.165139307516653,0.5239333829384983,1587
algo,85,-0.04309642704044725,0.29892382966548464,0.2921776389972637,1.1018382306323222,0.2567410499510884,0.7413754389902636,0.4879518072289157,1.1018382306323222,0.636755888037812,664
vet,85,0.20980362303681366,0.6111374454368107,0.6551301439987061,1.1907494818770525,0.5167969417914242,0.790911926145539,0.5082304526748971,1.1907494818770525,0.6688198664806598,972
atom,85,-0.7629853275167824,0.08192304019617844,0.08106998607618224,1.023933257868831,0.05707004785731173,0.9328297815182048,0.47613636363636364,1.023933257868831,0.6498372148602584,880
pol,85,-0.5089480964827737,-0.5831521729616548,-0.4034291134454128,0.8135449465890041,-0.29792321758880663,0.7216697736241411,0.44755244755244755,0.8135449465890041,0.3686896679176523,143
tao,85,0.5239067213408679,0.916078949785871,1.42413623361136,1.2247804874707007,1.143405182797014,0.6311567586596534,0.47297297297297297,1.2247804874707007,0.7877791637691252,518
