asset,max_pivot_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
bnb,9,0.12896167882765175,0.5250619400848948,0.7296528241755502,1.128850485028641,0.43898204688207976,0.9294335845715758,0.5037406483790524,1.128850485028641,0.7770600499632683,2406
btc,9,0.21110737795645496,0.6264357440641813,0.770363415774396,1.1417687018363103,0.527933953280872,0.6230950471908326,0.5193120096560049,1.1417687018363103,0.5251185531001324,3314
xrp,10,-0.658996413658879,0.33019148268110615,0.42426744159391827,1.0790305570062058,0.2985092797334665,0.9753139312703093,0.5063829787234042,1.0790305570062058,0.8817315842719494,2585
eth,10,0.2330216489331398,0.6465955042412258,0.8645935849379257,1.135795701171433,0.5394876632718038,0.8051311033339477,0.5081839438815277,1.135795701171433,0.6717620130606944,2566
algo,10,0.21625171564323553,0.6537907587167036,1.0157448308389938,1.1339340519602772,0.8052627297901738,0.7189557929432705,0.4966634890371783,1.1339340519602772,0.8855253713899972,2098
vet,10,-0.7917244786856095,0.2558059542910166,0.3598567904932948,1.051087975040311,0.2241555736938015,0.9848946040570989,0.5015263846489315,1.051087975040311,0.8630354817667412,2293
atom,10,-0.979968058278977,-0.027835187825453717,-0.0380360305785487,0.9945112439365709,-0.024666784678386806,0.9857531506617427,0.4771084337349398,0.9945112439365709,0.8735475710057743,2075
pol,10,0.256174051882341,0.44519841252044473,0.6850295733847643,1.0845949643104893,0.3990136996819779,0.7376187845713507,0.4860248447204969,1.0845949643104893,0.661098494310607,644
tao,10,-0.8516282833892627,-0.03605317047892695,-0.04936771731148952,0.9935459222660878,-0.035464367797089794,0.9635483991553443,0.4949381327334083,0.9935459222660878,0.9478121997041982,889
ltc,10,1.7541989631285717,0.4767936683633792,0.6461261708079429,1.1079940579714667,0.41177841433055,0.9410753547056191,0.4919667590027701,1.1079940579714667,0.8127509718331724,3610
xlm,10,-0.9006100021691265,0.22729323180478603,0.30452819927887664,1.0517598465468518,0.20115703709306823,0.9936279100852117,0.49394294646346226,1.0517598465468518,0.879371747141967,2559
avax,10,-0.4178305543478301,0.3865341959360566,0.6399078255483093,1.0777843572796928,0.39055080942361997,0.9588844483992884,0.48710433763188743,1.0777843572796928,0.9688485557122997,1706
link,10,-0.9877797366096035,0.08914495517774362,0.12838230782264337,1.0175547333112303,0.08669353444879596,0.9983619488615323,0.47963978073610025,1.0175547333112303,0.9709077292531211,2554
ada,10,0.2770202888368707,0.7091927602929061,1.098224258985038,1.174811999166902,0.733659775069612,0.9755476953594526,0.49809451219512196,1.174811999166902,1.0092039045230699,2624
trx,10,0.22893823511880118,0.6306897278976461,1.0335155950658763,1.184105257362053,0.6686906542455305,0.9650132566612684,0.5013084112149533,1.184105257362053,1.0231581670173608,2675
sui,10,0.5196351966954047,0.9167552836331221,1.3871938148711338,1.1833258390193977,1.0933580207185518,0.7272015218500646,0.5102781136638452,1.1833258390193977,0.8672888291873696,827
