asset,mom_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
xlm,132,1.5417123312281489,0.43285747281258785,0.5339132915735532,1.1499053275310405,0.3760420139655189,0.789268906082807,0.4937655860349127,1.1499053275310405,0.6856720459860098,1203
avax,132,1.3458317591081128,0.5338048207779114,0.6267733391005699,1.154157295293855,0.5552077413696888,0.7594580884577884,0.5060827250608273,1.154157295293855,0.7899085837087629,822
link,132,0.2550585214886325,0.6751769287916468,0.8122128862098108,1.176869354073275,0.5955984183581056,0.8735065171354844,0.5034656584751103,1.176869354073275,0.7705522476345441,1587
ada,132,0.31057234314540505,0.7238989513245997,0.8715552576496787,1.2207289808838617,0.6525380049728988,0.7227754121033404,0.5081712062256809,1.2207289808838617,0.6515252226769612,1285
trx,132,0.13613892974110642,0.49336083524902596,0.5985357594917279,1.14593960685518,0.3586489893932687,0.8749892092927709,0.5295081967213114,1.14593960685518,0.6360739913302373,1830
sui,132,1.1706354394222798,0.7060914159589096,0.9887073255444248,1.17356888376022,0.7521476763412117,0.6748865698779091,0.4858490566037736,1.17356888376022,0.7189074301918724,424
sol,132,0.7986669739783561,1.126866569574772,1.4454381946230492,1.3035434861496482,1.267887049489615,0.7088578832482094,0.5075154730327144,1.3035434861496482,0.7975671249508929,1131
bnb,132,0.47128715615858496,0.9286856153415249,1.1383039143152247,1.2785149016931447,0.9107302578192974,0.6125140554891924,0.5201005025125628,1.2785149016931447,0.600671609916636,1592
btc,132,0.47285172881980175,1.0805797775817438,1.1899325445232116,1.2933871218890687,0.7612133205649183,0.6432719295811573,0.5413206801107157,1.2933871218890687,0.4531522537267107,2529
xrp,133,1.4141898032263485,0.44563332253660076,0.5192050544597472,1.140687325547989,0.4070092119939015,0.772635806133102,0.49965823650034175,1.140687325547989,0.7056696048278092,1463
eth,133,0.3008251070423307,0.7689331221584282,0.7582901632983674,1.2094018262495518,0.5803706623616375,0.6994359802717303,0.5289902280130293,1.2094018262495518,0.5279160325548162,1535
algo,133,-0.8128241985899477,0.09075958016393897,0.08877014226133663,1.0251136264883371,0.07254692928600588,0.8932045747066453,0.49105145413870244,1.0251136264883371,0.7139659416904872,894
vet,133,-0.448385183349594,0.2753324434894676,0.29370635108585247,1.074389366354413,0.22205363469418277,0.8880891304587842,0.4962655601659751,1.074389366354413,0.7162374940326021,1205
atom,133,-0.7009984901909935,0.1431820959646966,0.15088118347474588,1.0390847542618142,0.107094848187197,0.912202988955534,0.49089165867689355,1.0390847542618142,0.6822936901425688,1043
pol,133,-0.7807385781017503,-1.4286964953389287,-0.9712197599241456,0.6221926225801626,-0.7240796231828155,0.7858094402379779,0.4258064516129032,0.6221926225801626,0.39825715625209357,155
tao,133,0.7891039854742696,0.6014857826322604,0.9128265746907822,1.1408606354425743,0.5938654383370515,0.7568864945162355,0.4596774193548387,1.1408606354425743,0.7472973473623886,496
ltc,133,0.25117527382905025,0.6580851432122774,0.7500232347957627,1.1974372079240903,0.5247342412441308,0.8847189744475069,0.5053914674167839,1.1974372079240903,0.7054441884296547,2133
xlm,133,1.3047251249639449,0.41994326560878387,0.5202835047057732,1.1444765869067535,0.34249067882058787,0.840862413871917,0.4921552436003303,1.1444765869067535,0.6857772525634405,1211
avax,133,1.0695174810517805,0.5114301223905898,0.6044965579776933,1.145856240567989,0.5346464254291631,0.7573354750953427,0.5072115384615384,1.145856240567989,0.7917146192284432,832
link,133,0.3455137319467103,0.7652355004436202,0.9265707763501773,1.2019803430509615,0.716245399557835,0.8307925382757584,0.506926952141058,1.2019803430509615,0.7776054994600053,1588
ada,133,0.35710523261754634,0.7758908960410624,0.9424268016265753,1.2373574133337375,0.7141942026314287,0.7141610394317226,0.5119876256767208,1.2373574133337375,0.6573729331145266,1293
trx,133,0.13949797440442646,0.49870888075387454,0.6050042712409645,1.1476457011450123,0.38350199240506055,0.8323561382109533,0.5297651556526488,1.1476457011450123,0.6400732966935492,1831
sui,133,1.8817758204598434,0.836656824017511,1.2546394140683865,1.208019827557051,0.9745468118611725,0.6046988303511899,0.4928571428571429,1.208019827557051,0.7043596613784364,420
sol,133,0.8142994505293841,1.137831813162512,1.458951885694905,1.3075478465384713,1.241367159700077,0.7307299115485731,0.5093002657218778,1.3075478465384713,0.7972216142258475,1129
bnb,133,0.4356864033504384,0.8852321102144334,1.0834518925389067,1.264202867064261,0.8616585072896841,0.6223362024231216,0.5185185185185185,1.264202867064261,0.6057634794588977,1593
btc,133,0.4748299896076926,1.0842330153170672,1.1946880148423624,1.2954418791475273,0.7628669732159625,0.6432719295811571,0.5410877332274712,1.2954418791475273,0.4526064996562223,2519
xrp,134,2.1703918702075256,0.480474503102498,0.5579442365070846,1.1521335210571677,0.4520985434972452,0.748082504929789,0.5047945205479452,1.1521335210571677,0.7039020982605185,1460
eth,134,0.18336273096544264,0.5916118224700385,0.5746176441754958,1.15706358042101,0.39510800002524765,0.7756717993535202,0.5247395833333334,1.15706358042101,0.5180324693969002,1536
algo,134,-0.7739041207833246,0.13412646446235282,0.1351457608178685,1.0380567677576809,0.11333930449900399,0.8709982519314965,0.48878923766816146,1.0380567677576809,0.7360093810679155,892
vet,134,-0.235251092341642,0.3188503445513173,0.34185091767723746,1.0868438180995983,0.27330380263099024,0.8312581281933752,0.49958643507030603,1.0868438180995983,0.7125161107254322,1209
atom,134,-0.8649043017900058,0.003306469047692127,0.0034301723456673723,1.0008871256402398,0.002343183325441818,0.9455011672276707,0.4875,1.0008871256402398,0.6700448536725401,1040
pol,134,-0.7190582498379781,-1.1801109434104016,-0.7935121179935976,0.676570923337139,-0.6297820270111436,0.7388203705159411,0.45161290322580644,0.676570923337139,0.3942813962863488,155
tao,134,1.465516943999417,0.7305551175186263,1.1512472118651378,1.1754490667092898,0.724964166662953,0.7703589577288652,0.45564516129032256,1.1754490667092898,0.7644633874007578,496
