time,total_market_cap,symbols_count,total_index
2015-07-14,6089627848.308857,2,6089627848.308857
2015-07-15,6023676112.846774,2,6023676112.846774
2015-07-16,5829178959.373747,2,5829178959.373747
2015-07-17,5864187878.295408,2,5864187878.295408
2015-07-18,5789466053.718193,2,5789466053.718193
2015-07-19,5745758242.033897,2,5745758242.033897
2015-07-20,5866005695.205467,2,5866005695.205467
2015-07-21,5790027077.730475,2,5790027077.730475
2015-07-22,5822127344.772701,2,5822127344.772701
2015-07-23,5795730220.839267,2,5795730220.839267
2015-07-24,6102188132.834434,2,6102188132.834434
2015-07-25,6112852534.991843,2,6112852534.991843
2015-07-26,6194739733.608435,2,6194739733.608435
2015-07-27,6214141656.106885,2,6214141656.106885
2015-07-28,6259767491.437993,2,6259767491.437993
2015-07-29,6143340496.775466,2,6143340496.775466
2015-07-30,6089276531.110105,2,6089276531.110105
2015-07-31,6032821428.141622,2,6032821428.141622
2015-08-01,5934684167.233522,2,5934684167.233522
2015-08-02,5956550839.468828,2,5956550839.468828
2015-08-03,5927911446.615578,2,5927911446.615578
2015-08-04,6024022465.807598,2,6024022465.807598
2015-08-05,5955284555.401514,2,5955284555.401514
2015-08-06,5867592859.232805,2,5867592859.232805
2015-08-07,5898685312.303889,2,5898685312.303889
2015-08-08,5500874258.824335,2,5500874258.824335
2015-08-09,5585729508.735074,2,5585729508.735074
2015-08-10,5577349450.409269,2,5577349450.409269
2015-08-11,5711469382.590616,2,5711469382.590616
2015-08-12,5618165290.4337015,2,5618165290.4337015
2015-08-13,5564326579.509858,2,5564326579.509858
2015-08-14,5607401978.522051,2,5607401978.522051
2015-08-15,5517333811.191598,2,5517333811.191598
2015-08-16,5458668308.6957035,2,5458668308.6957035
2015-08-17,5450500783.110299,2,5450500783.110299
2015-08-18,4475728042.397572,2,4475728042.397572
2015-08-19,4787613870.860949,2,4787613870.860949
2015-08-20,4970206699.692238,2,4970206699.692238
2015-08-21,4911669930.926363,2,4911669930.926363
2015-08-22,4864091427.684744,2,4864091427.684744
2015-08-23,4810857996.534263,2,4810857996.534263
2015-08-24,4427743086.995754,2,4427743086.995754
2015-08-25,4645026573.244355,2,4645026573.244355
2015-08-26,4729952949.78009,2,4729952949.78009
2015-08-27,4702614469.876153,2,4702614469.876153
2015-08-28,4837878376.55556,2,4837878376.55556
2015-08-29,4803366636.34347,2,4803366636.34347
2015-08-30,4780890747.4163685,2,4780890747.4163685
2015-08-31,4806237174.106366,2,4806237174.106366
2015-09-01,4765953089.93417,2,4765953089.93417
2015-09-02,4787271872.531477,2,4787271872.531477
2015-09-03,4732947264.324818,2,4732947264.324818
2015-09-04,4800281330.882852,2,4800281330.882852
2015-09-05,4911158224.835914,2,4911158224.835914
2015-09-06,5017153117.995731,2,5017153117.995731
2015-09-07,5017126821.14051,2,5017126821.14051
2015-09-08,5092238778.622468,2,5092238778.622468
2015-09-09,4974304884.957285,2,4974304884.957285
2015-09-10,4982414680.480168,2,4982414680.480168
2015-09-11,5015546944.1604595,2,5015546944.1604595
2015-09-12,4908156704.867035,2,4908156704.867035
2015-09-13,4813333638.422312,2,4813333638.422312
2015-09-14,4818163037.054993,2,4818163037.054993
2015-09-15,4809739559.691116,2,4809739559.691116
2015-09-16,4783998392.378569,2,4783998392.378569
2015-09-17,4806249360.957278,2,4806249360.957278
2015-09-18,4873250459.535811,2,4873250459.535811
2015-09-19,4837310800.801755,2,4837310800.801755
2015-09-20,4829629761.539395,2,4829629761.539395
2015-09-21,4743691239.706861,2,4743691239.706861
2015-09-22,4817644408.476711,2,4817644408.476711
2015-09-23,4812561394.620582,2,4812561394.620582
2015-09-24,4902183323.055853,2,4902183323.055853
2015-09-25,4911610462.670594,2,4911610462.670594
2015-09-26,4895115972.939176,2,4895115972.939176
2015-09-27,4862338201.471671,2,4862338201.471671
2015-09-28,5005122391.404714,2,5005122391.404714
