asset,adx_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
shib,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
doge,110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shib,110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
